engineer,engineer_system,is_public_knowledge,discovered_via,required_commodity,required_commodity_quantity,other_requirements
"Tod ""The Blaster"" McQuinn",Wolf 397,1,,,,"100,000 CR worth of bounty vouchers"
Felicity Farseer,Deciat,1,,Meta-Alloys,1,
Elvira Martuuk,Khun,1,,Soontill Relics,3,
Liz Ryder,Eurybia,1,,Landmines,200,
The Dweller,Wyrd,1,,,,"500,000 CR (credits)"
Lei Cheung,Laksak,0,The Dweller,Gold,200,
Selene Jean,Kuk,0,"Tod ""The Blaster"" McQuinn",Painite,10,
Hera Tani,Kuwemaki,0,Liz Ryder,Kamitra Cigars,50,
Broo Tarquin,Muang,0,Hera Tani,Fujin Tea,50,
Marco Qwent,Sirius,0,Elvira Martuuk,Modular Terminals,25,
Zacariah Nemo,Yoru,0,Elvira Martuuk,Xihe Biomorphic Companions,25,
Didi Vatermann,Leesti,0,Selene Jean,Lavian Brandy,50,
Colonel Bris Dekker,Sol,0,Juri Ishmaak,,,"1,000,000 CR worth of combat bonds"
Juri Ishmaak,Giryak,0,Felicity Farseer,,,"100,000 CR worth of combat bonds"
Professor Palin,Arque,0,Marco Qwent,Sensor Fragments,25,
Chloe Sedesi,Shenve,0,Marco Qwent,Sensor Fragments,25,
Bill Turner,Alioth,0,Selene Jean,Bromellite,50,
Lori Jameson,Shinrarta Dezhra,0,Marco Qwent,Kongga Ale,25,
Ram Tah,Meene,0,Lei Cheung,Classified Scan Databanks,50,
Tiana Fortune,Achenar,0,Hera Tani,Decoded Emission Data,50,
The Sarge,Beta-3 Tucani,0,Juri Ishmaak,Aberrant Shield Pattern Analysis,50,
Etienne Dorn,Los,0,Liz Ryder,Occupied Escape Pods,25,
Marsha Hicks,Tir,0,The Dweller,Osmium,10,
Mel Brandon,Luchtaine,0,Elvira Martuuk,,,"100,000 CR worth of bounty vouchers"
